timestamp,TorqueReductASRSlow,TorqueIncreaseMSR,TorqueReductASRFast,TorqueReductASRSlowValidData,TorqueIncreaseMSRValidData,TorqueReductASRFastValidData,ABSActive,MSRActive,ASRActive,VDCSysFailSts,VDCActive,VehicleSpeedVSOSig,VehicleSpeedVSOSigFailSts,BrakeInterventionSts,StandStillSts,AEB_InterventionType,CMMTASensSts,CMMInterventionAck
1589449616.816634,99.96000000000001,0.392,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.8264067,99.96000000000001,0.784,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.8366036,99.96000000000001,1.1760000000000002,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.8464046,99.96000000000001,1.568,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.8566096,99.96000000000001,1.96,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.8664038,99.96000000000001,2.3520000000000003,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.8766286,99.96000000000001,2.744,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.8865,99.96000000000001,3.136,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.8965826,99.96000000000001,3.528,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.9065228,99.96000000000001,3.92,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.9166079,99.96000000000001,4.312,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.9265301,99.96000000000001,4.704000000000001,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.9366293,99.96000000000001,5.096,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.9465091,99.96000000000001,5.488,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.9566064,99.96000000000001,5.88,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.966597,99.96000000000001,0.0,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.9765897,99.96000000000001,0.392,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1589449616.986521,99.96000000000001,0.784,99.96000000000001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
