timestamp,ABSLamp_FailSts,EBDLamp_FailSts,VDCLamp_FailSts,ElectricSteeringLamp_FailSts,LowBeamSts,CompressorACReqSts,KeySts,DriverDoorSts,ExternalTemperature,ExternalTemperatureFailSts,DriveStyleSts,RechargeSts,FuelLevelFailSts,FuelLevel,BrakePadWearSts,BrakeFluidLevelSts,HandBrakeSts,RHeatedWindowSts,FrontWiperMoveSts,TravelDistance
1589449616.907103,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.0070686,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.104515,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.2045186,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.3046825,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.4044383,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.504429,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.6044416,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.704509,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.8070576,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449617.904429,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.0044394,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.1044416,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.2044299,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.3070338,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.4070532,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.5044072,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.6044552,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.704454,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.8046973,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449618.9046443,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449619.0045931,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449619.1043866,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449619.2044818,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
1589449619.30453,0,2,0,0,0,0,4,0,27.5,0,0,1,0,0,0,0,1,0,0,49.0
