timestamp,BatteryChargeSts,BCMStopStartButtonSts,BCMAutoStopEnabledSts,BCMAutoStopStaySts,BCMAutoCrankSts,NotFilteredFuelLevel,SBR1RowDriverSeatConfigSts,SBR1RowCentralSeatConfigSts,SBR1RowPsngrSeatConfigSts,SBR1RowDriverSeatSts,SBR1RowCentralSeatSts,SBR1RowPsngrSeatSts,PTCSts,PTCFailSts
1589449616.8790953,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449617.1300044,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449617.3790843,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449617.6293347,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449617.880195,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449618.1293387,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449618.3792665,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449618.62933,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449618.8789508,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449619.1292102,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449619.3789897,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449619.6293516,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449619.878984,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449620.1292694,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449620.3789842,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449620.6292293,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449620.8790102,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449621.1293864,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449621.379232,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449621.6293354,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449621.8788056,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449622.1291068,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449622.3788064,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449622.629107,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449622.8788154,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449623.1290705,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449623.3788064,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449623.62907,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449623.8788955,40,1,0,0,0,510,1,0,0,0,0,1,0,0
1589449624.1290927,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449624.3789132,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449624.629138,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449624.8789124,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449625.1292424,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449625.3789032,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449625.6291513,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449625.8789034,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449626.1291392,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449626.379007,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449626.629139,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449626.8789444,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449627.1291401,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449627.3789108,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449627.6291387,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449627.8789055,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449628.1292698,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449628.3788958,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449628.62915,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449628.8788955,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449629.12915,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449629.3790212,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449629.6291454,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449629.8789148,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449630.1290424,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449630.3788178,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449630.6291113,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449630.878817,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449631.1290865,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449631.3788097,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449631.6290731,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449631.8788087,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449632.129074,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449632.3788774,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449632.6291509,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449632.878907,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449633.1291645,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449633.3788977,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449633.6292152,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449633.8788967,40,1,0,0,0,510,0,0,0,0,0,0,0,0
1589449634.1292162,40,1,0,0,0,510,0,0,0,0,0,0,0,0
