timestamp,HighBeamOutputSts,VehicleSpeed,VehicleSpeedFailSts,TravelDistance
1589449616.8300881,0,0.0,0,49.0
1589449616.9289927,0,0.0,0,49.0
1589449617.028993,0,0.0,0,49.0
1589449617.1291296,0,0.0,0,49.0
1589449617.2290275,0,0.0,0,49.0
1589449617.3290324,0,0.0,0,49.0
1589449617.429004,0,0.0,0,49.0
1589449617.5290039,0,0.0,0,49.0
1589449617.6290026,0,0.0,0,49.0
1589449617.7297163,0,0.0,0,49.0
1589449617.8301523,0,0.0,0,49.0
1589449617.9290037,0,0.0,0,49.0
1589449618.0290027,0,0.0,0,49.0
1589449618.1290126,0,0.0,0,49.0
1589449618.2290137,0,0.0,0,49.0
1589449618.329179,0,0.0,0,49.0
1589449618.4290748,0,0.0,0,49.0
1589449618.5289938,0,0.0,0,49.0
1589449618.628994,0,0.0,0,49.0
1589449618.729038,0,0.0,0,49.0
1589449618.828908,0,0.0,0,49.0
1589449618.9288993,0,0.0,0,49.0
1589449619.0290136,0,0.0,0,49.0
1589449619.12888,0,0.0,0,49.0
1589449619.228908,0,0.0,0,49.0
1589449619.3289416,0,0.0,0,49.0
1589449619.4289029,0,0.0,0,49.0
1589449619.5289273,0,0.0,0,49.0
1589449619.6290257,0,0.0,0,49.0
1589449619.7289317,0,0.0,0,49.0
1589449619.8289502,0,0.0,0,49.0
1589449619.9289222,0,0.0,0,49.0
1589449620.0289216,0,0.0,0,49.0
1589449620.1289313,0,0.0,0,49.0
1589449620.2290378,0,0.0,0,49.0
1589449620.3301113,0,0.0,0,49.0
1589449620.428903,0,0.0,0,49.0
1589449620.5289035,0,0.0,0,49.0
1589449620.6289032,0,0.0,0,49.0
1589449620.7289598,0,0.0,0,49.0
1589449620.8290758,0,0.0,0,49.0
1589449620.928923,0,0.0,0,49.0
1589449621.0289218,0,0.0,0,49.0
1589449621.1290603,0,0.0,0,49.0
1589449621.2290726,0,0.0,0,49.0
1589449621.329039,0,0.0,0,49.0
1589449621.429182,0,0.0,0,49.0
1589449621.529014,0,0.0,0,49.0
1589449621.6290052,0,0.0,0,49.0
1589449621.7290184,0,0.0,0,49.0
1589449621.8287616,0,0.0,0,49.0
1589449621.9287143,0,0.0,0,49.0
1589449622.02877,0,0.0,0,49.0
1589449622.1287808,0,0.0,0,49.0
1589449622.2287145,0,0.0,0,49.0
1589449622.3287547,0,0.0,0,49.0
1589449622.4287348,0,0.0,0,49.0
1589449622.5287147,0,0.0,0,49.0
1589449622.628771,0,0.0,0,49.0
1589449622.728759,0,0.0,0,49.0
1589449622.8288412,0,0.0,0,49.0
1589449622.9287357,0,0.0,0,49.0
1589449623.0287335,0,0.0,0,49.0
1589449623.1287344,0,0.0,0,49.0
1589449623.2287703,0,0.0,0,49.0
1589449623.3288026,0,0.0,0,49.0
1589449623.4287348,0,0.0,0,49.0
1589449623.5287352,0,0.0,0,49.0
1589449623.6287339,0,0.0,0,49.0
1589449623.7287343,0,0.0,0,49.0
1589449623.8288,0,0.0,0,49.0
1589449623.928794,0,0.0,0,49.0
1589449624.0287933,0,0.0,0,49.0
1589449624.1287665,0,0.0,0,49.0
1589449624.2288115,0,0.0,0,49.0
1589449624.3288412,0,0.0,0,49.0
1589449624.4288237,0,0.0,0,49.0
1589449624.5289154,0,0.0,0,49.0
1589449624.6288118,0,0.0,0,49.0
1589449624.728813,0,0.0,0,49.0
1589449624.8288307,0,0.0,0,49.0
1589449624.9288127,0,0.0,0,49.0
1589449625.0288239,0,0.0,0,49.0
1589449625.1289163,0,0.0,0,49.0
1589449625.2288136,0,0.0,0,49.0
1589449625.3288271,0,0.0,0,49.0
1589449625.4288235,0,0.0,0,49.0
1589449625.528813,0,0.0,0,49.0
1589449625.6288233,0,0.0,0,49.0
1589449625.7289162,0,0.0,0,49.0
1589449625.8288276,0,0.0,0,49.0
1589449625.9288235,0,0.0,0,49.0
1589449626.0288332,0,0.0,0,49.0
1589449626.128813,0,0.0,0,49.0
1589449626.228823,0,0.0,0,49.0
1589449626.3289945,0,0.0,0,49.0
1589449626.4288228,0,0.0,0,49.0
1589449626.5288126,0,0.0,0,49.0
1589449626.6288128,0,0.0,0,49.0
1589449626.728826,0,0.0,0,49.0
1589449626.8288617,0,0.0,0,49.0
1589449626.9289646,0,0.0,0,49.0
1589449627.028814,0,0.0,0,49.0
1589449627.128814,0,0.0,0,49.0
1589449627.2288141,0,0.0,0,49.0
1589449627.3288422,0,0.0,0,49.0
1589449627.4288125,0,0.0,0,49.0
1589449627.528924,0,0.0,0,49.0
1589449627.6288128,0,0.0,0,49.0
1589449627.7288134,0,0.0,0,49.0
1589449627.828843,0,0.0,0,49.0
1589449627.9288137,0,0.0,0,49.0
1589449628.0288234,0,0.0,0,49.0
1589449628.1289217,0,0.0,0,49.0
1589449628.228859,0,0.0,0,49.0
1589449628.3288631,0,0.0,0,49.0
1589449628.4288235,0,0.0,0,49.0
1589449628.5288231,0,0.0,0,49.0
1589449628.6288238,0,0.0,0,49.0
1589449628.7289152,0,0.0,0,49.0
1589449628.828897,0,0.0,0,49.0
1589449628.9288332,0,0.0,0,49.0
1589449629.0288334,0,0.0,0,49.0
1589449629.1288238,0,0.0,0,49.0
1589449629.2288249,0,0.0,0,49.0
1589449629.3289566,0,0.0,0,49.0
1589449629.4288588,0,0.0,0,49.0
1589449629.5288327,0,0.0,0,49.0
1589449629.6288192,0,0.0,0,49.0
1589449629.728814,0,0.0,0,49.0
1589449629.82883,0,0.0,0,49.0
1589449629.92886,0,0.0,0,49.0
1589449630.028922,0,0.0,0,49.0
1589449630.1287162,0,0.0,0,49.0
1589449630.2287166,0,0.0,0,49.0
1589449630.3287706,0,0.0,0,49.0
1589449630.428717,0,0.0,0,49.0
1589449630.528737,0,0.0,0,49.0
1589449630.6287751,0,0.0,0,49.0
1589449630.7287178,0,0.0,0,49.0
1589449630.828756,0,0.0,0,49.0
1589449630.928718,0,0.0,0,49.0
1589449631.0287182,0,0.0,0,49.0
1589449631.1287384,0,0.0,0,49.0
1589449631.2288024,0,0.0,0,49.0
1589449631.3287666,0,0.0,0,49.0
1589449631.4287367,0,0.0,0,49.0
1589449631.528717,0,0.0,0,49.0
1589449631.628737,0,0.0,0,49.0
1589449631.7287514,0,0.0,0,49.0
