timestamp,TC_ASRControlSts,BLCActive,TC_VDCShiftInterferenceValidData,TC_VDCShiftInterference,MasterCylinderPressureValidData,MasterCylinderPressure,CommandedSilenceRequest,ERMActive,RollsModeAct,HillHolderActive,TTCActive,HBAActive,PrefillActive
1589449616.8160574,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.8258305,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.8360252,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.8458283,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449616.856031,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.8658276,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.8760502,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.8859258,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449616.896008,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449616.9059486,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449616.9160273,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.9259555,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.9360547,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.9459345,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449616.95603,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.9660168,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449616.9760132,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.9859426,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449616.995933,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.00591,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.0157807,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.0258956,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.035873,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.046415,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.0560222,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.0658386,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.0760696,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.085909,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.0958176,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.105962,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.116047,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.125841,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.1363425,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.1458392,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.1560633,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.1658397,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.1758986,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.1864376,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.1969855,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.2071223,0,0,0,0,0,15.0,0,0,0,0,0,0,0
