timestamp,LongAcceleration,LatAcceleration,YawRate,AXSStat,AYSStat,YRSStat
1589449616.8163457,-0.0799999999999983,-0.259999999999998,-0.0800000000000125,0,0,0
1589449616.8261187,-0.0799999999999983,-0.259999999999998,0.0,0,0,0
1589449616.8363135,-0.0799999999999983,-0.259999999999998,0.0,0,0,0
1589449616.8461163,-0.0799999999999983,-0.240000000000002,0.0800000000000125,0,0,0
1589449616.8563192,-0.0799999999999983,-0.240000000000002,0.0800000000000125,0,0,0
1589449616.8661156,-0.0799999999999983,-0.29999999999999716,0.0,0,0,0
1589449616.8763385,-0.0799999999999983,-0.29999999999999716,0.0,0,0,0
1589449616.8862138,-0.0799999999999983,-0.28000000000000114,-0.0800000000000125,0,0,0
1589449616.8962963,-0.0799999999999983,-0.28000000000000114,-0.0800000000000125,0,0,0
1589449616.906237,-0.0799999999999983,-0.259999999999998,-0.0800000000000125,0,0,0
1589449616.9163156,-0.0799999999999983,-0.259999999999998,-0.0800000000000125,0,0,0
1589449616.9262438,-0.11999999999999744,-0.259999999999998,0.0,0,0,0
1589449616.936343,-0.11999999999999744,-0.259999999999998,0.0,0,0,0
1589449616.9462228,-0.11999999999999744,-0.240000000000002,0.0,0,0,0
1589449616.9563181,-0.11999999999999744,-0.240000000000002,0.0,0,0,0
1589449616.966305,-0.10000000000000142,-0.240000000000002,-0.0800000000000125,0,0,0
1589449616.9763014,-0.10000000000000142,-0.240000000000002,-0.0800000000000125,0,0,0
1589449616.9862325,-0.0799999999999983,-0.259999999999998,-0.2400000000000091,0,0,0
1589449616.9962234,-0.0799999999999983,-0.259999999999998,-0.2400000000000091,0,0,0
1589449617.0062003,-0.03999999999999915,-0.259999999999998,-0.1599999999999966,0,0,0
1589449617.0160708,-0.03999999999999915,-0.259999999999998,-0.1599999999999966,0,0,0
1589449617.0261838,-0.0799999999999983,-0.240000000000002,0.0,0,0,0
1589449617.036161,-0.0799999999999983,-0.240000000000002,0.0,0,0,0
1589449617.0467036,-0.0799999999999983,-0.259999999999998,0.0800000000000125,0,0,0
1589449617.0563102,-0.0799999999999983,-0.259999999999998,0.0800000000000125,0,0,0
1589449617.0661287,-0.060000000000002274,-0.28000000000000114,0.0,0,0,0
1589449617.0763597,-0.060000000000002274,-0.28000000000000114,0.0,0,0,0
1589449617.0861971,-0.0799999999999983,-0.259999999999998,-0.1599999999999966,0,0,0
1589449617.0961056,-0.0799999999999983,-0.259999999999998,-0.1599999999999966,0,0,0
1589449617.1062484,-0.10000000000000142,-0.28000000000000114,-0.2400000000000091,0,0,0
1589449617.116333,-0.10000000000000142,-0.28000000000000114,-0.2400000000000091,0,0,0
