timestamp,BatteryVoltageLevelHP,StateOfCharge,VoltageMin,VoltageMax,BatteryCurrentLevel,BatteryTemperature,IBSFailSts,BCMSAMFailSts
1588751240.026777,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751240.129653,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751240.227224,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751240.326765,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751240.526801,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751240.426838,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751240.626801,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751240.72679,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751240.826785,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751240.927018,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.029609,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.129591,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.72695,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.227002,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.329586,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.526725,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.426729,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.62674,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.826702,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751241.926694,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.026693,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.126691,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.226712,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.330035,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.426673,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.527252,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.626647,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.726641,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.826686,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751242.927109,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751243.629505,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751243.926757,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751243.026686,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751243.126621,4.0,0,10.6,14.8,-250.0,-30,0,0
